COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FIN,Finland,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.1436247600482,,
FIN,Finland,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,12.1291405261127,,
FIN,Finland,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.4639427008284,,
FIN,Finland,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,10.7288881437988,,
FIN,Finland,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.07999992370605,,
FIN,Finland,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.96141490952732,,
FIN,Finland,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.01999998092651,,
FIN,Finland,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,13.9783231217897,,
FIN,Finland,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,17.8700008392333,,
FIN,Finland,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,11.9584716585015,,
FIN,Finland,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.25999999046325,,
FIN,Finland,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.63950758995631,,
FIN,Finland,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3,,
FIN,Finland,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.94097971271344,,
FIN,Finland,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,19.1700000762939,,
